,T33.3.1,T33.3.2,T33.3.3,T33.3.4,T33.3.5
ct,3.71%,3.30%,5.77%,3.44%,3.80%
at,94.32%,93.74%,87.86%,93.75%,90.14%
ms,2.00%,3.04%,6.45%,2.80%,0.80%
