,T11.4.1,T11.4.2,T11.4.3,T11.4.4,T11.4.5
ct,5.90%,4.71%,3.60%,4.65%,2.21%
at,85.99%,88.41%,80.45%,89.11%,93.95%
ms,0.08%,1.29%,1.54%,0.09%,0.08%
oa,9.74%,7.36%,16.22%,7.85%,5.63%
