,T22.3.1,T22.3.2,T22.3.3,T22.3.4,T22.3.5
ct,8.21%,5.30%,10.98%,7.47%,3.13%
at,91.35%,94.34%,88.61%,92.09%,96.15%
ms,0.27%,0.21%,0.21%,0.25%,0.54%
