,T33.4.1,T33.4.2,T33.4.3.rep,T33.4.4,T33.4.5
ct,5.87%,4.21%,3.82%,5.33%,3.92%
at,90.14%,92.44%,94.93%,89.21%,94.98%
ms,0.08%,1.53%,0.73%,0.08%,0.60%
oa,5.68%,3.53%,2.18%,7.14%,2.15%
