,T11.3.1,T11.3.2,T11.3.3,T11.3.4,T11.3.5
ct,2.45%,2.75%,2.51%,1.88%,1.77%
at,96.39%,97.06%,97.32%,97.83%,97.81%
ms,1.25%,0.24%,0.29%,0.35%,0.46%
