strain,treatment,cosm,deletions
At,1,1,5452547
At,1,1,5446633
At,1,2,5521030
At,3,1,5202013
At,3,2,5455119
At,3,3,5396551
At,3,4,5483781
At,3,5,5420234
At,4,1,5522032
At,4,2,5413174
At,4,3,5407714
At,4,4,5446032
At,4,5,5545805
Ct,2,1,6188765
Ct,2,2,6212321
Ct,2,3,6154530
Ct,2,4,6180028
Ct,2,5,6192962
Ct,3,1,6203380
Ct,3,2,6164083
Ct,3,3,6142153
Ct,3,4,6204322
Ct,3,5,6196732
Ct,4,1,6181217
Ct,4,2,6116014
Ct,4,2,6053252
Ct,4,3,6114370
Ct,4,4,6157482
Ct,4,5,5983832
