strain,treatment,cosm,deletions
At,1,1,5356523
At,1,1,5376031
At,1,2,5403452
At,3,1,5177235
At,3,2,5403218
At,3,3,5417897
At,3,4,5430153
At,3,5,5387062
At,4,1,5398207
At,4,2,5395018
At,4,3,5344514
At,4,4,5331499
At,4,5,5390435
Ct,2,1,6114762
Ct,2,2,6107217
Ct,2,3,6123507
Ct,2,4,6108728
Ct,2,5,6126673
Ct,3,1,6115308
Ct,3,2,6135232
Ct,3,3,6146532
Ct,3,4,6117627
Ct,3,5,6072695
Ct,4,1,6115091
Ct,4,2,6093096
Ct,4,2,5977149
Ct,4,3,6133505
Ct,4,4,6125557
Ct,4,5,5989648
