sample,timepoint,species,treatment,depth,cosm
T22.4.1,T22,Ms,4,0.0,1
T22.4.2,T22,Ms,4,1.3013980337112787,2
T22.4.3,T22,Ms,4,1.776697218272631,3
T22.4.4,T22,Ms,4,0.0,4
T22.4.5,T22,Ms,4,1.2661694313804124,5
T33.3.1,T33,Ms,3,27.866230979960275,1
T33.3.2,T33,Ms,3,23.92007122370082,2
T33.3.3,T33,Ms,3,90.87032956690784,3
T33.3.4,T33,Ms,3,44.37324539974439,4
T33.3.5,T33,Ms,3,11.250683696098113,5
T33.4.1,T33,Ms,4,0.0,1
T33.4.2,T33,Ms,4,17.039378370824068,2
T33.4.3.rep,T33,Ms,4,8.15824871486383,3
T33.4.4,T33,Ms,4,0.0,4
T33.4.5,T33,Ms,4,6.156064943429703,5
T44.3.1,T44,Ms,3,3.420637930132009,1
T44.3.2,T44,Ms,3,3.3366682622077493,2
T44.3.3.rep,T44,Ms,3,8.232462808381172,3
T44.3.4,T44,Ms,3,4.799935203714743,4
T44.3.5,T44,Ms,3,8.935358460908091,5
T44.4.1,T44,Ms,4,0.0,1
T44.4.2,T44,Ms,4,2.0456956748939685,2
T44.4.3,T44,Ms,4,3.5571645095823157,3
T44.4.4,T44,Ms,4,0.0,4
T44.4.5.rep,T44,Ms,4,6.5194751054237,5
T11.4.1,T11,Oa,4,115.94612553623294,1
T11.4.2,T11,Oa,4,85.46116455819266,2
T11.4.3,T11,Oa,4,247.70887134055198,3
T11.4.4,T11,Oa,4,99.47903338315895,4
T11.4.5,T11,Oa,4,47.75588741842575,5
T22.4.1,T22,Oa,4,19.208482749401487,1
T22.4.2,T22,Oa,4,2.5976761821429872,2
T22.4.3,T22,Oa,4,22.81801533656592,3
T22.4.4,T22,Oa,4,10.698777255216498,4
T22.4.5,T22,Oa,4,12.725229939115534,5
T33.4.1,T33,Oa,4,48.91451091910022,1
T33.4.2,T33,Oa,4,22.243969910192376,2
T33.4.3.rep,T33,Oa,4,6.7302708325737965,3
T33.4.4,T33,Oa,4,67.59255804683607,4
T33.4.5,T33,Oa,4,5.6653226390559865,5
T44.4.1,T44,Oa,4,16.281622710756256,1
T44.4.2,T44,Oa,4,7.78838902864365,2
T44.4.3,T44,Oa,4,11.448270079113348,3
T44.4.4,T44,Oa,4,9.512141553343785,4
T44.4.5.rep,T44,Oa,4,13.783369280688323,5
