strain,name,cosm,treatment,timepoint,mutations,fixed,linegroup,number_of_variants,fixed_total_ratio,fixed_total_ratio_number,fixation_rate,acc_rate,hill
Ct,T22.3.5,5,3,T22,10.87891054692482,6,ct_5_3,16,0.5515258144756087,0.375,3.0,5.43945527346241,10.87891054692482
Ms,T33.3.2,2,3,T33,10.325733995490468,5,ms_2_3,15,0.48422707791849345,0.3333333333333333,1.6666666666666667,3.441911331830156,10.325733995490468
Ms,T33.3.1,1,3,T33,15.372796311190523,6,ms_1_3,24,0.3902998438633016,0.25,2.0,5.1242654370635075,15.372796311190523
Ms,T22.3.5,5,3,T22,8.568181818181817,5,ms_5_3,13,0.5835543766578251,0.38461538461538464,2.5,4.284090909090908,8.568181818181817
Ms,T22.3.4,4,3,T22,7.954761904761904,4,ms_4_3,10,0.5028434600419037,0.4,2.0,3.977380952380952,7.954761904761904
Ct,T44.3.2,2,3,T44,9.786914826514359,4,ct_2_3,22,0.4087089824428985,0.18181818181818182,1.0,2.4467287066285897,9.786914826514359
Ct,T44.3.5,5,3,T44,13.681984208877836,3,ct_5_3,27,0.2192664422206677,0.1111111111111111,0.75,3.420496052219459,13.681984208877836
Ms,T11.3.1,1,3,T11,6.946160856687172,6,ms_1_3,9,0.8637865036228913,0.6666666666666666,6.0,6.946160856687172,6.946160856687172
Ms,T11.3.2,2,3,T11,14.039163785990413,6,ms_2_3,31,0.4273758816025325,0.1935483870967742,6.0,14.039163785990413,14.039163785990413
Ms,T11.3.3,3,3,T11,10.624409169262112,4,ms_3_3,22,0.3764915240249363,0.18181818181818182,4.0,10.624409169262112,10.624409169262112
Ms,T11.3.4,4,3,T11,9.478156531429775,6,ms_4_3,16,0.6330344914756227,0.375,6.0,9.478156531429775,9.478156531429775
Ct,T44.3.4,4,3,T44,7.84850255073689,4,ct_4_3,10,0.5096513601342263,0.4,1.0,1.9621256376842224,7.84850255073689
Ms,T11.3.5,5,3,T11,7.584344628539675,5,ms_5_3,13,0.6592527429707163,0.38461538461538464,5.0,7.584344628539675,7.584344628539675
Ms,T22.3.2,2,3,T22,3.375,3,ms_2_3,4,0.8888888888888888,0.75,1.5,1.6875,3.375
Ct,T33.3.5,5,3,T33,7.441814458528813,4,ct_5_3,12,0.5375033229182078,0.3333333333333333,1.3333333333333333,2.480604819509604,7.441814458528813
Ct,T33.3.4,4,3,T33,7.610591663649374,4,ct_4_3,11,0.5255833155660266,0.36363636363636365,1.3333333333333333,2.5368638878831247,7.610591663649374
Ct,T33.3.3,3,3,T33,6.027250943292298,3,ct_3_3,8,0.4977393555081172,0.375,1.0,2.009083647764099,6.027250943292298
Ct,T33.3.2,2,3,T33,6.431572409989254,2,ct_2_3,10,0.31096594619593837,0.2,0.6666666666666666,2.143857469996418,6.431572409989254
Ms,T22.3.3,3,3,T22,5.995238095238094,2,ms_3_3,9,0.33359809372517873,0.2222222222222222,1.0,2.997619047619047,5.995238095238094
Ms,T22.3.1,1,3,T22,6.541666666666666,5,ms_1_3,8,0.7643312101910829,0.625,2.5,3.270833333333333,6.541666666666666
Ct,T44.3.1,1,3,T44,6.421564279008167,3,ct_1_3,13,0.46717588887288386,0.23076923076923078,0.75,1.6053910697520417,6.421564279008167
Ct,T33.3.1,1,3,T33,5.986398051993043,3,ct_1_3,10,0.501136071130655,0.3,1.0,1.9954660173310144,5.986398051993043
At,T33.3.4,4,3,T33,3.8839509779075136,2,at_4_3,7,0.5149395580367248,0.2857142857142857,0.6666666666666666,1.2946503259691713,3.8839509779075136
At,T44.3.2,2,3,T44,6.431596612390941,4,at_2_3,12,0.6219295520328043,0.3333333333333333,1.0,1.6078991530977353,6.431596612390941
At,T44.3.3.rep,3,3,T44,6.6757131113933585,3,at_3_3,10,0.44939019246946615,0.3,0.75,1.6689282778483396,6.6757131113933585
At,T44.3.4,4,3,T44,4.305242855546805,3,at_4_3,7,0.6968248019121265,0.42857142857142855,0.75,1.0763107138867012,4.305242855546805
At,T11.3.5,5,3,T11,1.439577852588077,0,at_5_3,5,0.0,0.0,0.0,1.439577852588077,1.439577852588077
