genes	logFC	logCPM	LR	PValue	FDR
NHFMJM_19535	-1.53234181211389	2.65054452810237	13.6383285187895	0.000221614637034237	0.00937829197914422
NHFMJM_11890	-1.31566460830946	4.47495872380683	13.6238371747375	0.000223331764868432	0.00937829197914422
NHFMJM_00455	-1.24762940538677	6.3526517210638	13.6277810433024	0.000222863119233011	0.00937829197914422
NHFMJM_27870	-2.02024400070836	3.57533080886105	13.6036735246623	0.000225743352084834	0.00941036703471887
NHFMJM_21595	-1.66017957885368	7.08385799252868	13.46901499513	0.000242535603206168	0.0097543720416227
NHFMJM_13245	-1.27001944025969	5.83520358962335	13.4936937982803	0.000239366534208473	0.0097543720416227
NHFMJM_08345	-1.24819430205995	6.17976615536709	13.4894372893742	0.000239910130268059	0.0097543720416227
NHFMJM_10600	-1.22346212142618	6.49855678853562	13.5179608012987	0.000236291035270329	0.0097543720416227
NHFMJM_13360	-1.1550208307757	4.17387509140564	13.4705921005579	0.000242331824172751	0.0097543720416227
NHFMJM_06695	-2.33358458657709	3.49059302666353	13.3693801806976	0.000255765867677712	0.0102145375545973
NHFMJM_16935	-3.25601924552496	4.74313066081988	13.3402379364806	0.000259771386336456	0.0102341765631788
NHFMJM_18450	-2.85069599175291	6.00650094742119	13.2412041947649	0.000273861917683457	0.0102341765631788
NHFMJM_02175	-2.18252824980306	8.85660560136662	13.2610449434081	0.00027097855885362	0.0102341765631788
NHFMJM_14190	-2.16730477107524	7.18665081132758	13.2532212141422	0.000272111870949218	0.0102341765631788
NHFMJM_09220	-1.94146820770318	4.33512470700191	13.3050352515285	0.000264694314832179	0.0102341765631788
NHFMJM_25060	-1.9000429449935	4.04453531757965	13.2948893270228	0.000266130554492776	0.0102341765631788
NHFMJM_02435	1.79780574420973	7.2632940176394	13.2755221524573	0.000268893984059758	0.0102341765631788
NHFMJM_15530	-1.29148854562904	3.60150815201246	13.239043860504	0.000274177729673675	0.0102341765631788
NHFMJM_13610	-1.28069297202252	4.94234509212575	13.3123616127595	0.000263662067569383	0.0102341765631788
NHFMJM_00680	-1.10000119284524	4.14906132941049	13.2927847052199	0.000266429463463907	0.0102341765631788
NHFMJM_10535	1.30949722644648	5.35019145989177	13.1978056869516	0.000280277088110413	0.0103939120142764
NHFMJM_13215	-3.35550244066283	7.71470209115159	13.1158379539698	0.000292809812133319	0.0107886247554412
NHFMJM_13230	-2.64107406683674	6.6902937113015	13.0901179532203	0.000296857658571195	0.0108676544108981
NHFMJM_23145	-1.31526388055787	6.06808058750466	13.0728205509328	0.000299611629287364	0.0108986115596187
NHFMJM_22225	-1.21661597660258	4.9165937944237	12.9972831432804	0.000311943258141179	0.0112753667547106
NHFMJM_04830	-1.75670203939121	5.21305083080825	12.9595265967002	0.000318297656238622	0.0114326912879168
NHFMJM_06690	-2.03514782382034	2.99039976200571	12.9084505999284	0.000327101951109777	0.0116754952674246
NHFMJM_19430	-1.93330709611666	8.57363147989665	12.8527420827113	0.000336985074005071	0.0119535512897078
NHFMJM_14195	-1.81026164168544	6.3120291487483	12.8154770301629	0.000343763749249976	0.0121187331602877
NHFMJM_13475	-1.77071623219588	5.43524302606072	12.7915537360316	0.000348187813575086	0.0121993902044621
NHFMJM_19940	-1.58368044477362	2.71997578223305	12.7656385837038	0.000353045046489197	0.0122941479298769
NHFMJM_12565	3.68369746582391	10.2489488939535	12.6885339247116	0.000367904613223861	0.0127197317767649
NHFMJM_09510	1.27675523733435	4.68263853345803	12.6793261064712	0.000369720797573624	0.0127197317767649
NHFMJM_06565	-1.42537343861919	4.542676363679	12.6534405347451	0.000374875159254085	0.0128198325419166
NHFMJM_07135	1.70277250865427	4.29599983517538	12.6405550237466	0.000377467894673095	0.0128316615861788
NHFMJM_13645	-1.82425500403895	4.23559236296576	12.5321946199809	0.000399999718581981	0.0135171502533828
NHFMJM_04840	-2.50563214524066	3.92368858170043	12.4522765712169	0.000417482657337268	0.0140249615061949
NHFMJM_02470	-1.34223448617536	5.92074478781462	12.4287148964534	0.000422782720174183	0.0141199538883904
NHFMJM_28020	-1.72904233616027	3.65616907224676	12.3929839779375	0.000430950021871521	0.0142263328029379
NHFMJM_09710	-1.39490460000824	5.82640897078837	12.4028257354185	0.000428684656490206	0.0142263328029379
NHFMJM_16930	-2.51030892345792	4.94420233853771	12.3636168809545	0.000437781762915049	0.0143688025747577
NHFMJM_21410	1.20988856995729	4.10484425565136	12.3000251473014	0.000452952191042851	0.0147817712174041
NHFMJM_17395	-2.2776871391714	5.39275122101885	12.2576109798828	0.000463364352431696	0.0150356466860081
NHFMJM_17005	1.75241647268613	5.66613335291018	12.2416474802524	0.000467345468821839	0.0150791523866753
NHFMJM_17975	-1.70186436589727	4.38355835476088	12.2138794021258	0.000474352941429173	0.0151897038055583
NHFMJM_23720	-1.32988322736492	4.25458358517298	12.2070552996408	0.000476091224163009	0.0151897038055583
NHFMJM_09390	2.16516741978644	9.28113422840713	12.1834132622409	0.000482163359034297	0.0152979719080271
NHFMJM_25035	-1.9414707789778	5.51478414896349	12.1442131552847	0.000492404119416762	0.0155365741767355
NHFMJM_18050	-1.28097824264329	4.12860366372395	12.1184087699875	0.000499264885017434	0.0156664931776625
NHFMJM_11310	1.71998841575394	6.7433867834657	12.0549115242619	0.000516560998546518	0.0161206549874271
NHFMJM_21115	1.46236523876558	5.47452661756891	12.018316745485	0.000526802571509877	0.0163509211189832
NHFMJM_04650	-4.39367349599613	9.88355124887322	11.9885305585444	0.000535289818627342	0.0164356997536599
NHFMJM_15900	-1.06503008881658	3.73917476316134	11.993649649799	0.00053382142796947	0.0164356997536599
NHFMJM_14415	2.47429644011487	9.44785435113256	11.9375114800761	0.000550149148564841	0.0168016138366514
NHFMJM_09295	-1.65874643257752	4.19936885274601	11.8630351385011	0.000572591494814397	0.0173939895047076
NHFMJM_13820	-1.45255437757637	6.3380993926549	11.8205362598675	0.000585809854680623	0.0177013760850849
NHFMJM_17405	1.26431372483581	4.91100884917104	11.793132890968	0.000594496053726881	0.0178692998043906
NHFMJM_09225	-2.74749379868751	3.41078620501765	11.719496939374	0.000618486716781053	0.0183967585392531
NHFMJM_11535	-2.5714763197063	4.42875018600776	11.7214140636029	0.000617849886770157	0.0183967585392531
NHFMJM_25405	-1.41041170111649	7.3541849235796	11.7058153053063	0.000623050766729765	0.0184364918590346
NHFMJM_05855	-1.90428216719365	4.8163296577538	11.6859255393781	0.000629746522529261	0.0184434994367416
NHFMJM_22105	-1.28943891519448	3.96692231808975	11.6937291683851	0.000627110863636031	0.0184434994367416
NHFMJM_05675	1.20194846235744	5.40153354461379	11.6417542260667	0.000644877587235816	0.0187902852076722
NHFMJM_15385	-1.12102570516598	4.94724352940715	11.5456423139759	0.000679082353329733	0.0196864940094726
NHFMJM_22850	-1.5633338346021	3.32877376353508	11.521217817741	0.000688062990436938	0.0197103463974399
NHFMJM_18095	1.22067038648014	4.84338452394542	11.5152943042939	0.000690259022848536	0.0197103463974399
NHFMJM_05310	-1.19425908287764	3.46272746010242	11.5192688143911	0.000688784767031515	0.0197103463974399
NHFMJM_06700	-2.5019329800906	3.4757918879255	11.4990831219694	0.000696305289280287	0.0197840771496503
NHFMJM_18225	1.15583318302683	3.75052388192405	11.4848731103668	0.000701649171226618	0.0198372198855209
NHFMJM_04825	-2.85026161509798	0.253281034041441	11.4254133546757	0.000724463060466215	0.0201824806747442
NHFMJM_08305	-2.24056558942708	6.30211873689496	11.4414530912578	0.00071823601720536	0.0201824806747442
NHFMJM_15110	0.999464083067011	4.9446274726513	11.4316908131821	0.000722019517549445	0.0201824806747442
NHFMJM_06545	-1.21362196424416	3.166621218764	11.4130310204068	0.000729307489154285	0.0202188110221365
NHFMJM_20790	1.59706949137641	5.57399608578425	11.3460478390409	0.000756086975237682	0.0207596765172231
NHFMJM_22075	-1.36226741010411	6.3181205946653	11.3487098107043	0.00075500401190684	0.0207596765172231
NHFMJM_25990	2.38071374715482	5.45492416381606	11.3299400891179	0.000762673618381402	0.020840330308977
NHFMJM_02205	-1.62439707221629	6.96974715896705	11.3057837192777	0.000772660277426541	0.0210126802113475
NHFMJM_27840	-2.14857073934842	1.1518170401256	11.2542618855847	0.000794404054156891	0.0214001960060849
NHFMJM_21380	1.03948700112548	4.82515700688988	11.2606317525837	0.000791682624069681	0.0214001960060849
NHFMJM_10430	-0.971654058568805	4.80649278059994	11.2113653426243	0.000812978830934183	0.0217977563542963
NHFMJM_14640	1.35417670649042	4.66409412486961	11.1665065606252	0.000832873078916533	0.0222268138023006
NHFMJM_12915	1.44018145084477	6.95176353328829	11.144256528641	0.000842922495784667	0.0223903738298895
NHFMJM_10025	-2.2285575075638	3.36636713503248	11.1071304075574	0.000859964472387916	0.0227373013972564
NHFMJM_14425	2.12801073079621	8.925662847519	11.0766143482334	0.000874232754105781	0.0230080334502217
NHFMJM_11930	2.11943458298561	8.92625138507103	11.0589552933672	0.000882598601365615	0.0231216541853166
NHFMJM_12065	-1.63003762969734	4.64690419597094	11.0500714320614	0.00088683781569685	0.0231266244997475
NHFMJM_13605	-1.51889178211648	5.0450029925359	11.0355679734886	0.000893802877436652	0.0232023101501851
NHFMJM_03775	-1.54454189409769	3.56754303351239	11.0020089846679	0.000910131841669486	0.0235192893564454
NHFMJM_14180	-2.25645736834598	8.38587237918138	10.9807870519016	0.000920613240279997	0.0236829829515273
NHFMJM_06390	-1.70891129061789	8.30597405942737	10.9510827357706	0.000935489340828337	0.0239119512369759
NHFMJM_25220	-1.27425038749719	6.01722992890987	10.9463383368561	0.000937887773959484	0.0239119512369759
NHFMJM_09675	-2.46755933628277	4.95459372402895	10.8826346095691	0.000970700689206639	0.0246385406047072
NHFMJM_17280	-1.25470987225779	6.74244554119026	10.8254753790266	0.00100112986686292	0.0252984631400625
NHFMJM_06600	1.84776613047082	5.67623375137692	10.776692048911	0.00102786210687515	0.0257959188667207
NHFMJM_15555	-1.0251407996003	5.15532138776841	10.7731169903754	0.00102984932614469	0.0257959188667207
NHFMJM_14440	2.18246449751982	8.89159785710982	10.7396197596558	0.00104865879677606	0.0260386538625569
NHFMJM_14445	2.05826857969888	7.04668859967651	10.7451791734407	0.00104551317733286	0.0260386538625569
NHFMJM_11305	1.51566490289245	6.29361870519574	10.7123354632691	0.00106423609089545	0.0263110489831339
NHFMJM_25985	2.41271816444676	6.07016653178825	10.6903400292945	0.00107696409346548	0.026510956628368
NHFMJM_19915	-3.01568978781548	8.09343071355414	10.6561219352731	0.00109707176101203	0.0268895707560551
NHFMJM_19745	-1.44016371597336	1.67670905533062	10.6416962577867	0.00110566216598667	0.0268895707560551
NHFMJM_10310	-1.25959203509734	2.66660600012851	10.6403458219964	0.00110646981748782	0.0268895707560551
NHFMJM_18020	2.23274185570019	4.63042330151108	10.5661087561932	0.00115179928077984	0.0278725664937868
NHFMJM_18940	-1.14613895565295	6.55218294970731	10.5439427427405	0.00116569483886039	0.0280898026359988
NHFMJM_14435	2.04996809184637	8.37264749598752	10.5028512476469	0.00119190481985795	0.0285951639922554
NHFMJM_13465	-1.68338683733361	4.76462435211488	10.4954620961311	0.00119668082545072	0.0285951639922554
NHFMJM_23650	-1.60344373036584	6.15989223765573	10.4377710155882	0.00123464177094381	0.0293505030704243
NHFMJM_12950	-1.1445342743512	4.20603523544831	10.4319044177586	0.00123856964454075	0.0293505030704243
NHFMJM_18975	-1.69586699222517	1.25273038429374	10.391861216887	0.00126571974474656	0.0297470183631589
NHFMJM_13160	-1.11885807832472	6.41705429512779	10.3959253351153	0.00126293694396805	0.0297470183631589
NHFMJM_01895	-1.6349639360589	7.98253487969812	10.3829293896306	0.00127185741088222	0.0297687609571653
NHFMJM_25205	-1.15231829138431	5.62092624116833	10.3363512909834	0.00130435597325955	0.0304048039317767
NHFMJM_24995	-1.53657541892472	1.78456015543602	10.3252688999718	0.00131221140601761	0.0304635745518966
NHFMJM_20660	2.24960759472548	1.53153119646984	10.3087755130291	0.00132399102729787	0.0306126022546484
NHFMJM_14430	2.13224444928729	9.22519027001944	10.3003291665211	0.0013300648160079	0.0306290329202464
NHFMJM_04895	2.5257603978729	11.6381662673794	10.2911332074837	0.00133670972968204	0.0306584307880086
NHFMJM_28025	-1.59692317343764	4.81046642172337	10.2710958567957	0.00135130515761894	0.030746230100246
NHFMJM_13515	-1.44297295354842	6.32549853495518	10.2767764340559	0.00134715105331823	0.030746230100246
NHFMJM_18015	1.60704794520273	3.56671932093489	10.2552022215923	0.00136299691755094	0.0308891880798945
NHFMJM_25215	-1.02817070905526	4.11874743306806	10.2348703060284	0.00137810302410643	0.0311080884216278
NHFMJM_10005	-2.21763006345537	3.94143763458369	10.2041271154717	0.00140126702070988	0.0315034016017491
NHFMJM_03595	-2.02588342475918	4.37456660752809	10.1898416883501	0.00141216438628047	0.0315034016017491
NHFMJM_25455	-1.71409737478469	8.14235556754137	10.1915321727154	0.00141087036934593	0.0315034016017491
NHFMJM_19085	-0.869863481347638	5.1083769464917	10.1821063152535	0.00141810093765581	0.0315127410698533
NHFMJM_16745	-1.32237152799052	3.13575355168628	10.1265941066582	0.00146145207177351	0.0323502045810021
NHFMJM_10210	-1.69281854164647	7.65465970319032	10.0889914271854	0.00149157722278329	0.0328895657116425
NHFMJM_28055	-2.1098298544109	3.5265983344729	10.067768970646	0.00150885629415168	0.0330156256547903
